,0
0,10.581699652939717
1,9.589806479984004
2,8.700317181874766
3,7.9283592674238275
4,7.267090925973928
5,6.71901200579072
6,6.266713977715483
7,5.897139854971579
8,5.599929366153276
9,5.3631816424533785
10,5.172887207473662
11,5.018865840493387
12,4.894546302098052
13,4.790826335681342
14,4.705162816572988
15,4.632715864968695
16,4.571202048287244
17,4.517677793073199
18,4.471506734807266
19,4.431427639166003
20,4.395224225065475
21,4.363262288353046
22,4.335049288140053
23,4.309377729279314
24,4.2853517942181405
25,4.262963373281651
26,4.2425001201875485
27,4.223296793586245
28,4.205857299553037
29,4.189266979227616
30,4.173979229372241
31,4.15931169196198
32,4.145139357738802
33,4.131278268145619
34,4.118146914885704
35,4.105867799498212
36,4.093600861866647
37,4.0816396123534515
38,4.069638687623493
39,4.0582748371126005
40,4.047321713133404
41,4.036351114260719
42,4.0255975843744745
43,4.0151465882740025
44,4.004720072239446
45,3.9949223816227537
46,3.985491376787096
47,3.9763658199727336
48,3.967512345361436
49,3.958629056445142
50,3.9497029280181413
51,3.9407735019480032
52,3.9321900100223406
53,3.923750159239757
54,3.9155733406398308
55,3.907485895036271
56,3.899469993024741
57,3.891439579814585
58,3.8836604630270166
59,3.8758968012219333
60,3.8683785009054192
61,3.8609494394299833
62,3.8531565763452313
63,3.84570901559535
64,3.8384627445504695
65,3.831279516152879
66,3.824262682241764
67,3.817476392926777
68,3.810713927536717
69,3.803783784762398
70,3.796492497614184
71,3.7891136965439847
72,3.781664353557392
73,3.774432990804084
74,3.767239130328976
75,3.7602497316627037
76,3.753387860935033
77,3.7464334706280544
78,3.7396955969079206
79,3.7332586226248896
80,3.726683590512737
81,3.720067219427601
82,3.7134724078729553
83,3.707316630202924
84,3.7011205776512814
85,3.695161147573069
86,3.6892627636994417
87,3.683528727887396
88,3.677793927015207
89,3.6719812467760713
90,3.6661992818396585
91,3.6604715338146434
92,3.65472040119032
93,3.649142084844541
94,3.6433588161599935
95,3.6376599422710223
96,3.631811754136904
97,3.6258976210825535
98,3.6202143819477497
99,3.614713670112847
100,3.6091914733761183
101,3.6038253765905117
102,3.5986552346022096
103,3.5932999883718235
104,3.588017101757212
105,3.5826647364771427
106,3.5772429642561536
107,3.5718371473292314
108,3.5665273590665514
109,3.561331865991643
110,3.5561096134971675
111,3.5509215132973155
112,3.5456054740241565
113,3.5402734260757565
114,3.535359193510002
115,3.5306691256161864
116,3.5261607577151883
117,3.5216683444695844
118,3.5172825186382104
119,3.5127981968918047
120,3.5081773918984824
121,3.5036254696654834
122,3.4992071028338887
123,3.4948671728105003
124,3.4905053784704214
125,3.4861665406754865
126,3.4818566850668
127,3.4775713147983285
128,3.473431387260656
129,3.469503252330243
130,3.465562948422064
131,3.461600986414623
132,3.4575514526878863
133,3.45338855258186
134,3.4491337676943195
135,3.444884774599472
136,3.4406350441844595
137,3.4366082964330937
138,3.4327375816175723
139,3.428981012505078
140,3.425113365705044
141,3.4210654528948634
142,3.4169963713545317
143,3.413033713644911
144,3.4092104403214036
145,3.4054370624919734
146,3.4017726722069788
147,3.3980979552191304
148,3.3945108556110717
149,3.3909083955140447
150,3.387320764408154
151,3.383790440712257
152,3.3802481295641535
153,3.3767532920758008
154,3.373327405528116
155,3.369938999154004
156,3.366472953668554
157,3.3629867259783484
158,3.3594767801668075
159,3.3561292907292963
160,3.3527346685689485
161,3.3492890848674097
162,3.3459554651494123
163,3.342659484002575
164,3.3393894792839585
165,3.336263425965356
166,3.3331571079412177
167,3.3299676988812994
168,3.3267951848573527
169,3.3236974314604937
170,3.3206473256787716
171,3.317649916251144
172,3.3146637760732727
173,3.3116971788014733
174,3.3087525817070604
175,3.3058603998978238
176,3.3029995472404208
177,3.300146384752172
178,3.297346876885951
179,3.2945732338203992
180,3.2917740369429827
181,3.2888967149017647
182,3.2859426614579395
183,3.2829669613675536
184,3.2800336920322337
185,3.2771459516623067
186,3.2743188426389684
187,3.2714961196827708
188,3.2685822975631402
189,3.2657140739828776
190,3.262897841678972
191,3.2601017636775933
192,3.257314739745347
193,3.2546463520442948
194,3.2520622327288127
195,3.2494655293715606
196,3.2468672838481067
197,3.244319484623788
198,3.2417923639584827
199,3.239226472234913
200,3.2367080731933813
201,3.234244785452656
202,3.2317823307820923
203,3.2292850558069444
204,3.226772855292044
205,3.2242382720971814
206,3.2217230521316145
207,3.219194770277791
208,3.2166472497173033
209,3.214139902715666
210,3.2116473564367976
211,3.2091897214711165
212,3.206766552334339
213,3.2043243882643764
214,3.2018651253040717
215,3.1993414016748005
216,3.196742591329996
217,3.1941383197120388
218,3.19167409068312
219,3.189302212402308
220,3.1869635235995863
221,3.1846726491629447
222,3.1823879986433408
223,3.1801389153665363
224,3.1779001605687736
225,3.17563473282466
226,3.1733990723104344
227,3.1711678793560925
228,3.168874001326608
229,3.1666031749600854
230,3.164438785206732
231,3.1622772650993225
232,3.1601390141726613
233,3.158002331865549
234,3.155864874150084
235,3.1537380377217654
236,3.1516014543114843
237,3.1494422922859626
238,3.1472915982260767
239,3.1451676703808302
240,3.143051514963083
241,3.1409214696683274
242,3.1387675623138342
243,3.1366064208653124
244,3.1344436655977166
245,3.1323075767130466
246,3.130145095109511
247,3.127924175772379
248,3.1258492270548017
249,3.1238796674386906
250,3.1219457269177773
251,3.1200207052062496
252,3.118049326109136
253,3.116029073705912
254,3.114086089386776
255,3.1121630848395587
256,3.110245413100186
257,3.1083447601485497
258,3.1064868105815666
259,3.104659606709848
260,3.1028108274879083
261,3.1010055212396512
262,3.099214178308304
263,3.0974348818736948
264,3.0956569016989253
265,3.0938616544508166
266,3.0920377850284755
267,3.0901971688789827
268,3.0883670740114453
269,3.086551663794161
270,3.0847317214561087
271,3.0828992785410483
272,3.0810751584986367
273,3.079239820840208
274,3.0774345594765
275,3.0756601730762747
276,3.0739011908177454
277,3.0721633000930177
278,3.0704194122972672
279,3.0686055429809262
280,3.0667457074352793
281,3.0649762887908576
282,3.0632332306548395
283,3.0615059262003013
284,3.0597840069984197
285,3.058052498107692
286,3.056335283690653
287,3.0546751877988236
288,3.0530401912849983
289,3.0513891306355525
290,3.0497278043777825
291,3.048095553371028
292,3.046474818920995
293,3.044846386557664
294,3.0432206465877907
295,3.041606323439265
296,3.0399902783549537
