,0
0,0.5258236171906684
1,0.513601795048634
2,0.5039038893610092
3,0.49580781573257104
4,0.48925534282543803
5,0.4837138352239091
6,0.4790629123724577
7,0.4750013539309321
8,0.4714233638229568
9,0.46815907104440846
10,0.46513141042929135
11,0.46224338834981654
12,0.4594424442317925
13,0.4566718031179442
14,0.4538962652387748
15,0.4510815150728594
16,0.4482039730692408
17,0.445242334307597
18,0.4421809067477178
19,0.4390065197157891
20,0.4357092493163897
21,0.432281684016839
22,0.4287186365511321
23,0.4250174268071593
24,0.4211772215532602
